year,event_id,event_name,player_id,top20,model_p,model_p_rn,open_am,close_am,fair_open,fair_close,edge,ev,clv_pct
2023,10,The Honda Classic,21688,0,0.120689655172414,0.094715821506571,350,230,0.173775275913833,0.233806111118498,-0.0790594544072622,-0.276708090425418,0.363636363636364
2023,10,The Honda Classic,21756,1,0.4375,0.34334485296132,500,360,0.130331456935375,0.167730471019792,0.213013396025945,1.06506698012972,0.304347826086957
2023,10,The Honda Classic,21880,0,0.208459214501511,0.163596339089036,1100,1100,0.0651657284676874,0.0642966805575869,0.0984306106213488,1.08273671683484,0
2023,10,The Honda Classic,21943,0,0.106140350877193,0.0832976986632976,650,600,0.1042651655483,0.110222880955863,-0.0209674668850023,-0.136288534752515,0.0714285714285714
2023,10,The Honda Classic,22050,1,0.13265306122449,0.104104561830838,260,300,0.217219094892292,0.192890041672761,-0.113114533061454,-0.29409778595978,-0.1
2023,10,The Honda Classic,22051,0,0.4375,0.34334485296132,120,120,0.355449428005568,0.350709166677747,-0.0121045750442481,-0.0145254900530977,0
2023,10,The Honda Classic,22535,0,0.208459214501511,0.163596339089036,700,600,0.0977485927015312,0.110222880955863,0.0658477463875051,0.460934224712536,0.142857142857143
2023,10,The Honda Classic,22833,0,0.106140350877193,0.0832976986632976,900,850,0.0781988741612249,0.0812168596516888,0.00509882450207269,0.0458894205186542,0.0526315789473684
2023,10,The Honda Classic,22914,0,0.032258064516129,0.0253157495271019,850,750,0.0823146043802368,0.0907717843165933,-0.0569988548531349,-0.484490266251646,0.117647058823529
2023,10,The Honda Classic,22981,0,0.032258064516129,0.0253157495271019,1200,1200,0.0601529801240192,0.0593507820531572,-0.0348372305969173,-0.418046767163007,0
2023,10,The Honda Classic,23475,0,0.106140350877193,0.0832976986632976,750,500,0.091998675483794,0.128593361115174,-0.00870097682049641,-0.065257326153723,0.416666666666667
2023,10,The Honda Classic,23482,0,0.295508274231679,0.231911417062695,360,450,0.169997552524402,0.140283666671099,0.0619138645382929,0.222889912337854,-0.163636363636364
2023,10,The Honda Classic,23505,0,0.106140350877193,0.0832976986632976,1400,1400,0.05213258277415,0.0514373444460696,0.0311651158891477,0.436311622448068,0
2023,10,The Honda Classic,23599,0,0.295508274231679,0.231911417062695,900,750,0.0781988741612249,0.0907717843165933,0.15371254290147,1.38341288611323,0.176470588235294
2023,10,The Honda Classic,23656,0,0.208459214501511,0.163596339089036,1200,1200,0.0601529801240192,0.0593507820531572,0.103443358965017,1.24132030758021,0
2023,10,The Honda Classic,24342,0,0.173361522198732,0.136052083082226,240,300,0.229996688709485,0.192890041672761,-0.0939446056272587,-0.225467053505421,-0.15
2023,10,The Honda Classic,24481,0,0.13265306122449,0.104104561830838,700,700,0.0977485927015312,0.0964450208363804,0.00635596912930633,0.0444917839051443,0
2023,10,The Honda Classic,24968,0,0.370967741935484,0.291131119561672,250,230,0.223425354746357,0.233806111118498,0.0677057648153152,0.169264412038288,0.0606060606060606
2023,10,The Honda Classic,25002,1,0.159217877094972,0.12495231679997,550,550,0.120305960248038,0.118701564106314,0.00464635655193117,0.0255549610356214,0
2023,10,The Honda Classic,25157,1,0.159217877094972,0.12495231679997,225,230,0.240611920496077,0.233806111118498,-0.115659603696107,-0.260234108316241,-0.0151515151515151
2023,10,The Honda Classic,25213,1,0.208459214501511,0.163596339089036,330,240,0.18185784688657,0.226929460791483,-0.0182615077975333,-0.06026297573186,0.264705882352941
2023,10,The Honda Classic,25363,0,0.295508274231679,0.231911417062695,260,210,0.217219094892292,0.24889037635195,0.0146923221704034,0.0382000376430488,0.161290322580645
2023,10,The Honda Classic,25569,0,0.208459214501511,0.163596339089036,550,350,0.120305960248038,0.171457814820232,0.0432903788409979,0.238097083625489,0.444444444444444
2023,10,The Honda Classic,26096,0,0.208459214501511,0.163596339089036,500,600,0.130331456935375,0.110222880955863,0.0332648821536614,0.166324410768307,-0.142857142857143
2023,10,The Honda Classic,26653,0,0.295508274231679,0.231911417062695,500,450,0.130331456935375,0.140283666671099,0.10157996012732,0.5078998006366,0.0909090909090908
2023,10,The Honda Classic,26660,0,0.173361522198732,0.136052083082226,250,220,0.223425354746357,0.241112552090951,-0.0873732716641306,-0.218433179160326,0.09375
