event_id,year,n,spearman,our_act,opt_act,sal_act,pct_opt,cash_line,cashed,du_roi,pctile,gpp_roi
540,2024,130,0.371512714493677,319,714,304,0.446778711484594,372,0,-1,0.223333333333333,-1
540,2025,131,0.353643531593171,473.5,813,430,0.582410824108241,427.5,1,0.8,0.7525,-1
541,2023,154,0.197105847110098,156,657.5,267,0.237262357414449,340.25,0,-1,0.000833333333333333,-1
541,2024,155,0.293788475306766,421,834,452,0.504796163069544,400,1,0.8,0.6,-1
541,2025,155,0.510321248159568,399.5,671,425,0.595380029806259,366.5,1,0.8,0.709166666666667,-1
543,2023,154,0.34852050841247,638,693,477.5,0.920634920634921,378.5,1,0.8,1,99
544,2023,142,0.350525983363389,318.5,726.5,464,0.438403303509979,398,0,-1,0.131666666666667,-1
545,2023,128,0.36847003221935,493,739,468.5,0.667117726657645,429.5,1,0.8,0.7775,-1
546,2023,78,0.11114978084261,377.5,616,339,0.612824675324675,355.25,1,0.8,0.711666666666667,-1
547,2023,130,0.374587784921566,524.5,972,617.5,0.539609053497942,488,1,0.8,0.6375,-1
548,2023,130,0.482880362832699,440,795,609.5,0.553459119496855,502.75,0,-1,0.17,-1
549,2023,154,0.440086787831516,431.5,903,568.5,0.477851605758583,486.25,0,-1,0.250833333333333,-1
553,2024,128,0.232566196914086,328,879,519,0.373151308304892,327,1,0.8,0.510833333333333,-1
553,2025,126,0.353847496129263,470.5,726.5,0,0.64762560220234,310.5,1,0.8,0.989166666666667,5
554,2024,127,0.24847535752779,446,873,506.5,0.510882016036655,457,0,-1,0.445,-1
554,2025,123,0.193610390942449,167.5,859,505,0.194994179278231,404.5,0,-1,0.000833333333333333,-1
6,2023,143,0.300560460476501,384,804,383,0.477611940298507,394.75,0,-1,0.44,-1
6,2024,143,0.171875160686824,577.5,768,355.5,0.751953125,435.5,1,0.8,0.991666666666667,19
60,2023,30,-0.154976681377486,429.5,677.5,457.5,0.633948339483395,474.5,0,-1,0.095,-1
60,2024,30,0.292330045340473,678,758.5,492.5,0.893869479235333,542,1,0.8,0.999166666666667,99
60,2025,30,0.10390477314268,591.5,683.5,497.5,0.865398683247988,523,1,0.8,0.961666666666667,2
7,2023,129,0.235367877171005,493.5,600,251,0.8225,324.5,1,0.8,0.995833333333333,19
7,2024,70,0.285681790814954,317.5,748.5,487.5,0.424181696726787,405.5,0,-1,0.0916666666666667,-1
7,2025,72,0.0877284706536697,486,624.5,374,0.77822257806245,343,1,0.8,0.994166666666667,19
9,2024,69,0.137965066930446,409.5,611,400,0.670212765957447,350,1,0.8,0.890833333333333,0.8
9,2025,72,0.169502156159074,192.5,608.5,314.5,0.316351684470008,342.5,0,-1,0.005,-1
