key,market,book,player_id,player,opp_ids,opponent,book_odds,dg_fair_p,dg_fair_odds,ev_vs_dg,event,ts,close_odds,close_dg_fair_p,clv_pct,beat,ev_at_close,flagged
"3_balls bet365 17786 10419,18628",3_balls,bet365,17786,"Davis, Cam","10419,18628","Noren, Alex / Campbell, Brian",4,0.2137,4.68,-0.1452,RBC Canadian Open,2026-06-10 09:51:07.45615,4,0.2137,0,FALSE,-0.1452,FALSE
"3_balls bet365 17881 19872,23602",3_balls,bet365,17881,"Yu, Kevin","19872,23602","Riley, Davis / Hojgaard, Nicolai",2.8,0.31693,3.155,-0.1126,RBC Canadian Open,2026-06-10 09:51:07.45615,2.8,0.31693,0,FALSE,-0.112596,FALSE
"3_balls bet365 18103 14007,14704",3_balls,bet365,18103,"Bezuidenhout, Christiaan","14007,14704","Martin, Ben / Putnam, Andrew",2.3,0.41661,2.4,-0.0418,RBC Canadian Open,2026-06-10 09:51:07.45615,2.3,0.41661,0,FALSE,-0.0417970000000001,FALSE
"3_balls bet365 18424 17365,25002",3_balls,bet365,18424,"Roy, Kevin","17365,25002","Mitchell, Keith / Wu, Dylan",3,0.30626,3.265,-0.0812,RBC Canadian Open,2026-06-10 09:51:07.45615,3,0.30626,0,FALSE,-0.0812200000000001,FALSE
"3_balls bet365 18554 22085,6093",3_balls,bet365,18554,"Rai, Aaron","22085,6093","Rose, Justin / Morikawa, Collin",2.87,0.32839,3.045,-0.0575,RBC Canadian Open,2026-06-10 09:51:07.45615,2.87,0.32839,0,FALSE,-0.0575206999999999,FALSE
"3_balls bet365 18586 24766,26653",3_balls,bet365,18586,"Smith, Jordan","24766,26653","Kim, Tom / Eckroat, Austin",2.5,0.38087,2.626,-0.0478,RBC Canadian Open,2026-06-10 09:51:07.45615,2.5,0.38087,0,FALSE,-0.047825,FALSE
"3_balls bet365 18628 10419,17786",3_balls,bet365,18628,"Campbell, Brian","10419,17786","Noren, Alex / Davis, Cam",3.75,0.22445,4.455,-0.1583,RBC Canadian Open,2026-06-10 09:51:07.45615,3.75,0.22445,0,FALSE,-0.1583125,FALSE
"3_balls bet365 18841 17646,29925",3_balls,bet365,18841,"Hovland, Viktor","17646,29925","Fitzpatrick, Matt / Yellamaraju, Sudarshan",2.8,0.3076,3.251,-0.1387,RBC Canadian Open,2026-06-10 09:51:07.45615,2.8,0.3076,0,FALSE,-0.13872,FALSE
"3_balls bet365 19477 27194,27900",3_balls,bet365,19477,"Schenk, Adam","27194,27900","Hall, Harry / Potgieter, Aldrich",4.33,0.20516,4.874,-0.1117,RBC Canadian Open,2026-06-10 09:51:07.45615,4.33,0.20516,0,FALSE,-0.1116572,FALSE
"3_balls bet365 19483 21407,23604",3_balls,bet365,19483,"Burns, Sam","21407,23604","Reitan, Kristoffer / Clark, Wyndham",2.5,0.36548,2.736,-0.0863,RBC Canadian Open,2026-06-10 09:51:07.45615,2.5,0.36548,0,FALSE,-0.0862999999999999,FALSE
"3_balls bet365 19729 14926,20706",3_balls,bet365,19729,"Kanaya, Takumi","14926,20706","Malnati, Peter / Wallace, Matt",2.87,0.32869,3.042,-0.0567,RBC Canadian Open,2026-06-10 09:51:07.45615,2.87,0.32869,0,FALSE,-0.0566597,FALSE
"3_balls bet365 19840 10104,25908",3_balls,bet365,19840,"Ramey, Chad","10104,25908","Power, Seamus / Whaley, Vince",2.7,0.33544,2.981,-0.0943,RBC Canadian Open,2026-06-10 09:51:07.45615,2.7,0.33544,0,FALSE,-0.094312,FALSE
"3_balls bet365 19846 12426,31347",3_balls,bet365,19846,"Bauchou, Zach","12426,31347","Waring, Paul / Desmarchais, Laurent",1.833,0.53671,1.863,-0.016,RBC Canadian Open,2026-06-10 09:51:07.45615,1.833,0.53671,0,FALSE,-0.01621057,FALSE
"3_balls bet365 19870 14502,23465",3_balls,bet365,19870,"McCarthy, Denny","14502,23465","Cauley, Bud / Greyserman, Max",3.2,0.28464,3.513,-0.0891,RBC Canadian Open,2026-06-10 09:51:07.45615,3.2,0.28464,0,FALSE,-0.0891519999999999,FALSE
"3_balls bet365 19872 17881,23602",3_balls,bet365,19872,"Riley, Davis","17881,23602","Yu, Kevin / Hojgaard, Nicolai",4.33,0.17916,5.582,-0.2243,RBC Canadian Open,2026-06-10 09:51:07.45615,4.33,0.17916,0,FALSE,-0.2242372,FALSE
"3_balls bet365 19960 13412,13997",3_balls,bet365,19960,"Pavon, Matthieu","13412,13997","Olesen, Thorbjorn / Svensson, Adam",3,0.29565,3.382,-0.113,RBC Canadian Open,2026-06-10 09:51:07.45615,3,0.29565,0,FALSE,-0.11305,FALSE
"3_balls bet365 20706 14926,19729",3_balls,bet365,20706,"Wallace, Matt","14926,19729","Malnati, Peter / Kanaya, Takumi",2.1,0.43061,2.322,-0.0957,RBC Canadian Open,2026-06-10 09:51:07.45615,2.1,0.43061,0,FALSE,-0.095719,FALSE
