event_id,year,player_id,open_am,close_am,top20,wave,is_calm,wind_gap,open_dec,close_dec,open_imp,fair_p,pnl_open,clv
10,2024,11328,1600,4500,0,AM,1,5.23333333333333,17,46,0.0588235294117647,0.0448655173455975,-1,-0.630434782608696
10,2024,11889,350,350,0,PM,0,5.23333333333333,4.5,4.5,0.222222222222222,0.169491954416702,-1,0
10,2024,12359,550,600,0,PM,0,5.23333333333333,6.5,7,0.153846153846154,0.117340583826947,-1,-0.0714285714285714
10,2024,12423,190,200,0,AM,1,5.23333333333333,2.9,3,0.344827586206897,0.263004756853502,-1,-0.0333333333333333
10,2024,12425,280,280,0,PM,0,5.23333333333333,3.8,3.8,0.263157894736842,0.200714156546094,-1,0
10,2024,12577,400,450,0,PM,0,5.23333333333333,5,5.5,0.2,0.152542758975031,-1,-0.0909090909090909
10,2024,12965,260,280,0,PM,0,5.23333333333333,3.6,3.8,0.277777777777778,0.211864943020877,-1,-0.0526315789473684
10,2024,13367,900,900,0,PM,0,5.23333333333333,10,10,0.1,0.0762713794875157,-1,0
10,2024,13404,2000,3500,0,AM,1,5.23333333333333,21,36,0.0476190476190476,0.0363197045178646,-1,-0.416666666666667
10,2024,13412,225,250,0,PM,0,5.23333333333333,3.25,3.5,0.307692307692308,0.234681167653895,-1,-0.0714285714285714
10,2024,13470,650,800,0,PM,0,5.23333333333333,7.5,9,0.133333333333333,0.101695172650021,-1,-0.166666666666667
10,2024,13497,450,550,1,AM,1,5.23333333333333,5.5,6.5,0.181818181818182,0.138675235431847,4.5,-0.153846153846154
10,2024,13900,170,200,1,AM,1,5.23333333333333,2.7,3,0.37037037037037,0.282486590694503,1.7,-0.1
10,2024,13997,210,190,0,PM,0,5.23333333333333,3.1,2.9,0.32258064516129,0.246036708024244,-1,0.0689655172413795
10,2024,14002,2500,2200,1,PM,0,5.23333333333333,26,23,0.0384615384615385,0.0293351459567368,25,0.130434782608696
10,2024,14007,550,800,0,AM,1,5.23333333333333,6.5,9,0.153846153846154,0.117340583826947,-1,-0.277777777777778
10,2024,14016,700,650,0,AM,1,5.23333333333333,8,7.5,0.125,0.0953392243593946,-1,0.0666666666666667
10,2024,14181,300,330,0,AM,1,5.23333333333333,4,4.3,0.25,0.190678448718789,-1,-0.0697674418604651
10,2024,14459,165,165,0,AM,1,5.23333333333333,2.65,2.65,0.377358490566038,0.287816526367984,-1,0
10,2024,14502,650,650,0,AM,1,5.23333333333333,7.5,7.5,0.133333333333333,0.101695172650021,-1,0
10,2024,14509,700,800,0,PM,0,5.23333333333333,8,9,0.125,0.0953392243593946,-1,-0.111111111111111
10,2024,14578,120,125,0,PM,0,5.23333333333333,2.2,2.25,0.454545454545455,0.346688088579617,-1,-0.0222222222222221
10,2024,14698,650,600,0,PM,0,5.23333333333333,7.5,7,0.133333333333333,0.101695172650021,-1,0.0714285714285714
10,2024,14775,360,600,0,AM,1,5.23333333333333,4.6,7,0.217391304347826,0.165807346711991,-1,-0.342857142857143
10,2024,14926,1100,1100,1,AM,1,5.23333333333333,12,12,0.0833333333333333,0.0635594829062631,11,0
