course_name,event_id,year,event_name,n,am_tee,pm_tee,am_score,pm_score,r1_date,gap_score,lat,lon,am_wind,pm_wind,am_gust,pm_gust,wind_gap,gust_gap
Colonial Country Club,21,2022,Charles Schwab Challenge,120,8.15833333333333,12.6583333333333,70.8666666666667,70.7,2022-05-26,-0.166666666666657,32.7192029,-97.3719937,8.16666666666667,12.35,14.8666666666667,21.8833333333333,4.18333333333333,7.01666666666667
Colonial Country Club,21,2023,Charles Schwab Challenge,120,8.15833333333333,12.825,69.95,70.6833333333333,2023-05-25,0.733333333333334,32.7192029,-97.3719937,4.85,8.51666666666667,12.0833333333333,17.7666666666667,3.66666666666667,5.68333333333333
Colonial Country Club,21,2024,Charles Schwab Challenge,132,7.91666666666667,12.75,70.5151515151515,71.4242424242424,2024-05-23,0.909090909090907,32.7192029,-97.3719937,12.35,14.2,21.7666666666667,26.8666666666667,1.85,5.1
Colonial Country Club,21,2025,Charles Schwab Challenge,134,7.91666666666667,12.75,70.1363636363637,70.5441176470588,2025-05-22,0.407754010695186,32.7192029,-97.3719937,6.18333333333333,8.18333333333333,16.5166666666667,23.8166666666667,2,7.3
Country Club of Jackson,54,2021,Sanderson Farms Championship,144,8.09166666666667,13.0083333333333,70.3611111111111,70.8472222222222,2021-09-30,0.486111111111114,32.396,-90.11,6.11666666666667,7.26666666666667,15.1833333333333,18.4,1.15,3.21666666666667
Dunes Golf and Beach Club,553,2025,ONEflight Myrtle Beach Classic,132,7.75,12.4166666666667,69.8333333333333,70.1969696969697,2025-05-08,0.363636363636374,33.768,-78.77,4.81666666666667,9.25,11.8,23.2333333333333,4.43333333333333,11.4333333333333
Dye's Valley Course,88,2023,PGA TOUR Q-School presented by Korn Ferry,164,8.68333333333333,9.9,72.0140845070423,72.0322580645161,2023-12-14,0.0181735574738724,30.197,-81.392,18.9,18.8333333333333,38.4,39,-0.0666666666666664,0.600000000000001
Dye's Valley Course,88,2024,PGA TOUR Q-School presented by Korn Ferry,170,9,10.1666666666667,72.0714285714286,72.453488372093,2024-12-12,0.38205980066445,30.197,-81.392,10.2,10.35,20.8833333333333,21.9,0.15,1.01666666666667
El Camaleon Golf Club,457,2021,World Wide Technology Championship at Mayakoba,132,7.83333333333333,12.5,68.7878787878788,69.7727272727273,2021-11-04,0.984848484848484,20.69,-87.038,2.81666666666667,2.05,9.96666666666667,9.01666666666667,-0.766666666666667,-0.950000000000001
El Camaleón Golf Course at Mayakoba,457,2022,World Wide Technology Championship at Mayakoba,132,7.83333333333333,12.5,69.3333333333333,69.0909090909091,2022-11-03,-0.242424242424235,20.69,-87.038,6.81666666666667,8.25,16.0666666666667,21.2833333333333,1.43333333333333,5.21666666666667
