"game_id","season","week","week_period","start_date","home_team","away_team","spread","spread_feature","over_under","line_movement","sharp_home_signal","sharp_away_signal","home_covered","over_hit","spread_prob","totals_prob","actual_margin","home_score","away_score","total_points","conference_tier","bye_adv","elo_diff"
401282103,2021,6,"mid",2021-10-10,"Texas A&M","Alabama",18.5,18.5,51,0,0,0,1,1,0.335645327719954,0.875103298945965,3,41,38,79,2,0,-167.389996830055
401282104,2021,7,"mid",2021-10-16 16:00:00,"Arkansas","Auburn",-4.5,-4.5,54.5,0,0,0,0,1,0.576434186156782,0.475754707100378,-15,23,38,61,2,0,-58.0120192911438
401282105,2021,7,"mid",2021-10-16 19:30:00,"Georgia","Kentucky",-21.5,-21.5,44.5,0,0,0,0,0,0.228855480179777,0.394532768185804,17,30,13,43,2,0,132.150086772623
401282106,2021,7,"mid",2021-10-16 16:00:00,"LSU","Florida",12.5,12.5,61,0,0,0,1,1,0.312281210566308,0.59723999096866,7,49,42,91,2,0,-87.782220498075
401282107,2021,7,"mid",2021-10-16 23:00:00,"Mississippi State","Alabama",17.5,17.5,59.5,0,0,0,0,0,0.424463928873155,0.729532972675863,-40,9,49,58,2,1,-258.713829957882
401282108,2021,7,"mid",2021-10-16 16:00:00,"Missouri","Texas A&M",11.5,11.5,59.5,0,0,0,0,0,0.382549851424318,0.475599886159005,-21,14,35,49,2,0,-159.604609302339
401282109,2021,7,"mid",2021-10-16 20:00:00,"South Carolina","Vanderbilt",-18.5,-18.5,50,0,0,0,0,0,0.176690105154232,0.250197433557894,1,21,20,41,2,0,136.139195608857
401282110,2021,7,"mid",2021-10-16 23:30:00,"Tennessee","Ole Miss",1,1,82.5,0,0,0,0,0,0.479691493950103,0.176250626808581,-5,26,31,57,2,0,-22.225763986894
401282111,2021,8,"mid",2021-10-23 23:00:00,"Alabama","Tennessee",-25.5,-25.5,68,0,0,0,1,1,0.569835176553171,0.24908063534838,28,52,24,76,2,0,257.510475208735
401282112,2021,8,"mid",2021-10-23 16:00:00,"Arkansas","Arkansas-Pine Bluff",-50.5,-50.5,59.5,0,0,0,0,0,0.686555427779437,0.542951545081082,42,45,3,48,1,0,105.594447644759
401282113,2021,8,"mid",2021-10-23 19:30:00,"Ole Miss","LSU",-9,-9,77,0,0,0,1,0,0.503090161261819,0.222046492370001,14,31,17,48,2,0,4.50105963869282
401282114,2021,8,"mid",2021-10-23 23:30:00,"Texas A&M","South Carolina",-19.5,-19.5,46,0,0,0,1,1,0.688207554493373,0.774338294789207,30,44,14,58,2,0,214.77831160067
401282115,2021,8,"mid",2021-10-23 20:00:00,"Vanderbilt","Mississippi State",20.5,20.5,53,0,0,0,0,0,0.554241283838481,0.57458380779107,-39,6,45,51,2,0,-189.518772052514
401282116,2021,9,"late",2021-10-30 23:00:00,"Auburn","Ole Miss",-3,-3,67.5,0,0,0,1,0,0.516121992006313,0.621442215678226,11,31,20,51,2,1,15.5751181615678
401282117,2021,9,"late",2021-10-30 19:30:00,"Florida","Georgia",14,14,50.5,0,0,0,0,0,0.344555765439471,0.435113674958734,-27,7,34,41,2,0,-144.626628684082
401282118,2021,9,"late",2021-10-30 23:00:00,"Mississippi State","Kentucky",-1,-1,47,0,0,0,1,1,0.409925712964196,0.537478260769117,14,31,17,48,2,-1,-99.446893497709
401282119,2021,9,"late",2021-10-30 19:00:00,"Vanderbilt","Missouri",16,16,62.5,0,0,0,1,1,0.486947687109767,0.768190709114067,-9,28,37,65,2,-1,-176.756019267132
401282120,2021,10,"late",2021-11-06 23:00:00,"Alabama","LSU",-29,-29,67,0,0,0,0,0,0.476955812767368,0.386187446712446,6,20,14,34,2,0,230.394409277732
401282121,2021,10,"late",2021-11-06 20:00:00,"Arkansas","Mississippi State",-4,-4,53.5,0,0,0,0,1,0.649325305323362,0.658580347631837,3,31,28,59,2,1,-10.402477974653
401282122,2021,10,"late",2021-11-06 16:00:00,"Georgia","Missouri",-40,-40,59.5,0,0,0,0,0,0.281402128969573,0.737047248717675,37,43,6,49,2,0,330.848684259685
401282123,2021,10,"late",2021-11-06 23:00:00,"Kentucky","Tennessee",1,1,57.5,0,0,0,0,1,0.402124882859824,0.438584748052438,-3,42,45,87,2,-1,65.1141854560885
401282124,2021,10,"late",2021-11-06 16:00:00,"Ole Miss","Liberty",-7.5,-7.5,67,0,0,0,1,0,0.521529799018593,0.405251155999186,13,27,14,41,1,0,-78.9936861722877
401282125,2021,10,"late",2021-11-06 23:30:00,"South Carolina","Florida",20.5,20.5,52,0,0,0,1,1,0.0796450319952343,0.745842252468484,23,40,17,57,2,1,-171.672872088022
401282126,2021,10,"late",2021-11-06 19:30:00,"Texas A&M","Auburn",-4.5,-4.5,49.5,0,0,0,1,0,0.339890418170406,0.780530862495435,17,20,3,23,2,1,22.6338963735279
401282127,2021,11,"late",2021-11-13 17:00:00,"Alabama","New Mexico State",-50.5,-50.5,67,0,0,0,1,0,0.554013528199939,0.706861505973339,56,59,3,62,1,0,488.040590888747
401282128,2021,11,"late",2021-11-13 17:00:00,"Auburn","Mississippi State",-5.5,-5.5,51,0,0,0,0,1,0.892184490269383,0.359480824876635,-9,34,43,77,2,0,92.8040996886828
401282129,2021,11,"late",2021-11-13 17:00:00,"Florida","Samford",-36,-36,68.5,0,0,0,0,1,0.513516282648929,0.483019395291657,18,70,52,122,1,0,98.2383074258094
401282130,2021,11,"late",2021-11-14 00:30:00,"LSU","Arkansas",3,3,59.5,0,0,0,0,0,0.682586070432322,0.512871086181074,-3,13,16,29,2,0,12.8244735006333
401282131,2021,11,"late",2021-11-14,"Ole Miss","Texas A&M",1,1,57.5,0,0,0,1,0,0.0835334566699883,0.523435985128849,10,29,19,48,2,0,-70.8948960435985
401282132,2021,11,"late",2021-11-13 21:00:00,"Missouri","South Carolina",1.5,1.5,55,0,0,0,1,1,0.0421193772059087,0.662501405468979,3,31,28,59,2,0,-10.918434163035
401282133,2021,11,"late",2021-11-13 20:30:00,"Tennessee","Georgia",19.5,19.5,55.5,0,0,0,0,1,0.0566346213492996,0.706899575954153,-24,17,41,58,2,0,-268.895689501047
401282134,2021,11,"late",2021-11-14,"Vanderbilt","Kentucky",21.5,21.5,52.5,0,0,0,1,0,0.155546168832901,0.777013988274497,-17,17,34,51,2,1,-304.661844069267
401282135,2021,12,"late",2021-11-20 20:30:00,"Alabama","Arkansas",-20.5,-20.5,58.5,0,0,0,0,1,0.280620035364038,0.30316527710227,7,42,35,77,2,0,241.537673617295
401282136,2021,12,"late",2021-11-20 17:00:00,"Georgia","Charleston Southern",-52.5,-52.5,59.5,0,0,0,0,1,0.580967510382943,0.640892065705984,49,56,7,63,1,0,342.815076433635
401282137,2021,12,"late",2021-11-20 17:00:00,"Kentucky","New Mexico State",-35.5,-35.5,61,0,0,0,1,1,0.595127945545246,0.773356208535505,40,56,16,72,1,0,267.452956176307
401282138,2021,12,"late",2021-11-21 02:00:00,"LSU","UL Monroe",-29,-29,57.5,0,0,0,0,0,0.733313674787819,0.426187746505375,13,27,14,41,1,0,186.42916782833
401282139,2021,12,"late",2021-11-21 00:30:00,"Ole Miss","Vanderbilt",-36,-36,65.5,0,0,0,0,0,0.633690162254727,0.536978042340873,14,31,17,48,2,0,395.931357463225
401282140,2021,12,"late",2021-11-20 17:00:00,"Mississippi State","Tennessee State",-44,-44,56.5,0,0,0,1,1,0.562122468113508,0.652850840162409,45,55,10,65,1,0,121.530906866893
401282141,2021,12,"late",2021-11-20 21:00:00,"Missouri","Florida",9,9,69,0,0,0,1,0,0.603219400320756,0.250162906011593,1,24,23,47,2,0,-104.929492670251
401282142,2021,12,"late",2021-11-21,"South Carolina","Auburn",7,7,45,0,0,0,1,0,0.155494970005142,0.580781720241927,4,21,17,38,2,0,-130.912646383056
401282143,2021,12,"late",2021-11-21 00:30:00,"Tennessee","South Alabama",-28.5,-28.5,61.5,0,0,0,1,1,0.512472395085019,0.350291489764511,46,60,14,74,1,0,63.9426760171937
401282144,2021,12,"late",2021-11-20 17:00:00,"Texas A&M","Prairie View A&M",-41.5,-41.5,50,0,0,0,1,1,0.756811583553554,0.223764097879153,49,52,3,55,1,0,64.3554954138644
401282145,2021,13,"late",2021-11-26 20:30:00,"Arkansas","Missouri",-14.5,-14.5,63.5,0,0,0,1,0,0.380934229257637,0.352208141420819,17,34,17,51,2,0,74.5156807501344
401282146,2021,13,"late",2021-11-27 20:30:00,"Auburn","Alabama",20.5,20.5,57,0,0,0,1,0,0.329132434364405,0.884322850194873,-2,22,24,46,2,0,-236.665165687555
401282147,2021,13,"late",2021-11-27 17:00:00,"Florida","Florida State",-4,-4,58.5,0,0,0,0,0,0.894021674241141,0.709565664088369,3,24,21,45,2,0,88.8848653271373
401282148,2021,13,"late",2021-11-27 17:00:00,"Georgia Tech","Georgia",35.5,35.5,54.5,0,0,0,0,0,0.188000277497746,0.762601148145154,-45,0,45,45,2,0,-421.900502969477
401282149,2021,13,"late",2021-11-28 00:30:00,"Louisville","Kentucky",-3,-3,57.5,0,0,0,0,1,0.104246476617058,0.310965127165745,-31,21,52,73,2,0,-11.1861352595652
401282150,2021,13,"late",2021-11-28,"LSU","Texas A&M",6.5,6.5,46.5,0,0,0,1,1,0.536773278955704,0.795584790221181,3,27,24,51,2,0,-140.813996336811
401282151,2021,13,"late",2021-11-26 00:30:00,"Mississippi State","Ole Miss",-2,-2,65,0,0,0,0,0,0.340284895084583,0.494701019164725,-10,21,31,52,2,0,-63.6979629156438
401282152,2021,13,"late",2021-11-28 00:30:00,"South Carolina","Clemson",11.5,11.5,42.5,0,0,0,0,0,0.542520635118961,0.677747827773822,-30,0,30,30,2,0,-255.259310906954
401282153,2021,13,"late",2021-11-27 20:45:00,"Tennessee","Vanderbilt",-32,-32,64.5,0,0,0,0,1,0.278728135818736,0.539240480395256,24,45,21,66,2,0,302.013036130277
401282154,2021,14,"late",2021-12-04 21:00:00,"Alabama","Georgia",6.5,6.5,49,0,0,0,1,1,0.292730527648982,0.711714417315354,17,41,24,65,2,0,-21.4744201501924
401282156,2021,14,"late",2021-12-04,"UTSA","Western Kentucky",3.5,3.5,74.5,0,0,0,1,1,0.571293287372005,0.629519246088369,8,49,41,90,0,0,-27.2162902760747
401282181,2021,2,"early",2021-09-11 22:00:00,"Charlotte","Gardner-Webb",-23,-23,58,0,0,0,1,0,0.464566929146157,0.199141044430662,28,38,10,48,0,0,53.0352743637902
401282182,2021,2,"early",2021-09-11 23:00:00,"Florida International","Texas State",-2,-2,55.5,0,0,0,0,0,0.464566929146157,0.514811590763674,-6,17,23,40,0,0,85.4942636667754
401282183,2021,2,"early",2021-09-11 19:30:00,"Florida Atlantic","Georgia Southern",-7,-7,48.5,0,0,0,1,0,0.464566929146157,0.706822360581256,32,38,6,44,0,0,-12.5960706556341
401282186,2021,2,"early",2021-09-11 18:00:00,"Virginia Tech","Middle Tennessee",-20,-20,54.5,0,0,0,1,0,0.464566929146157,0.400208269157066,21,35,14,49,1,0,77.5112169311467
401282187,2021,2,"early",2021-09-11 23:00:00,"SMU","North Texas",-22.5,-22.5,73.5,0,0,0,1,0,0.464566929146157,0.466103569957269,23,35,12,47,0,0,125.239631455206
401282189,2021,2,"early",2021-09-11 22:30:00,"Rice","Houston",7.5,7.5,50.5,0,0,0,0,1,0.464566929146157,0.777740180975518,-37,7,44,51,0,0,-15.572568206652
401282191,2021,2,"early",2021-09-11 01:30:00,"Boise State","UTEP",-25,-25,56.5,0,0,0,1,1,0.464566929146157,0.547682640211931,41,54,13,67,0,0,125.489803467441
401282193,2021,2,"early",2021-09-11 15:30:00,"Army","Western Kentucky",-6,-6,52,0,0,0,0,1,0.464566929146157,0.477418412540719,3,38,35,73,0,0,53.2531721114592
401282194,2021,3,"early",2021-09-18 22:00:00,"UTSA","Middle Tennessee",-11.5,-11.5,59.5,0,0,0,1,0,0.464566929146157,0.297596521364577,14,27,13,40,0,0,79.1091867845932
401282195,2021,3,"early",2021-09-18 23:30:00,"North Texas","UAB",12.5,12.5,58,0,0,0,0,0,0.464566929146157,0.290675354049498,-34,6,40,46,0,0,-130.741258477052
401282196,2021,3,"early",2021-09-18 23:00:00,"Georgia State","Charlotte",-4.5,-4.5,63,0,0,0,1,0,0.464566929146157,0.487270066817927,11,20,9,29,0,0,-46.6645830863458
401282197,2021,3,"early",2021-09-18 23:00:00,"Texas Tech","Florida International",-20.5,-20.5,54,0,0,0,1,1,0.464566929146157,0.248785618578408,33,54,21,75,1,0,73.7916837078965
401282198,2021,3,"early",2021-09-18 22:00:00,"Florida Atlantic","Fordham",-31,-31,51.5,0,0,0,0,1,0.464566929146157,0.674025326649441,31,45,14,59,0,0,145.158756108397
401282199,2021,3,"early",2021-09-18 19:30:00,"Louisiana Tech","SMU",11,11,65.5,0,0,0,1,1,0.464566929146157,0.289144812372727,-2,37,39,76,0,0,-83.9455862835448
401282200,2021,3,"early",2021-09-18 22:00:00,"Marshall","East Carolina",-10,-10,58.5,0,0,0,0,1,0.464566929146157,0.367461632269737,-4,38,42,80,0,0,173.360721012822
401282201,2021,3,"early",2021-09-18 22:00:00,"Liberty","Old Dominion",-27.5,-27.5,52.5,0,0,0,1,1,0.464566929146157,0.333392077370997,28,45,17,62,0,0,196.207246824694
401282202,2021,3,"early",2021-09-19,"Texas","Rice",-26,-26,51.5,0,0,0,1,1,0.464566929146157,0.504103967553859,58,58,0,58,1,0,176.662019762815
401282203,2021,3,"early",2021-09-18 23:00:00,"Southern Miss","Troy",11,11,49.5,0,0,0,0,0,0.464566929146157,0.704343581457803,-12,9,21,30,0,0,-54.4179351204223
401282204,2021,4,"mid",2021-09-24 22:30:00,"Charlotte","Middle Tennessee",-2.5,-2.5,55.5,0,0,0,1,1,0.636323662854086,0.6005910515625,3,42,39,81,0,0,40.0751314002309
401282205,2021,4,"mid",2021-09-25 23:00:00,"Louisiana Tech","North Texas",-10.5,-10.5,65,0,0,0,0,0,0.365495309091605,0.283402254491654,7,24,17,41,0,0,91.6758105476806
