"i","week","bet_type","ev","stake","win","pnl","bankroll","drawdown"
81,3,"spread",0.413503849744797,9.671,0,-9.671,183.74,9.9
82,3,"spread",0.2798220911026,9.187,1,8.351,192.1,5.8
83,3,"spread",0.232856425702572,9.605,1,8.731,200.83,1.5
84,3,"totals",0.278486479640007,10.041,1,9.128,209.95,0
85,3,"totals",0.17318492847681,10,0,-10,199.95,4.8
86,3,"spread",0.254171364605427,9.998,0,-9.998,189.96,9.5
87,3,"totals",0.274801543772221,9.498,1,8.633,198.59,5.4
88,3,"spread",0.375401373922825,9.929,1,9.026,207.61,1.1
89,4,"spread",0.433187563061714,10.381,1,9.436,217.05,0
90,4,"spread",0.561324224293232,10.853,1,9.865,226.92,0
91,4,"spread",0.151134709179401,9.432,1,8.574,235.49,0
92,4,"spread",0.709991616368294,11.774,1,10.703,246.19,0
93,4,"totals",0.198868994057179,12.31,1,11.189,257.38,0
94,4,"spread",0.601102074384689,12.869,1,11.698,269.08,0
95,4,"totals",0.21848079508543,13.454,1,12.23,281.31,0
96,4,"totals",0.379280427455902,14.065,0,-14.065,267.24,5
97,4,"totals",0.216712572038174,13.362,0,-13.362,253.88,9.8
98,4,"spread",0.338520496726036,12.694,1,11.539,265.42,5.6
99,4,"spread",0.50885260361433,13.271,1,12.063,277.48,1.4
100,4,"totals",0.144897797346115,11.058,1,10.052,287.54,0
101,4,"spread",0.2840208812356,14.377,1,13.069,300.6,0
102,4,"totals",0.229709921717644,15.03,0,-15.03,285.57,5
103,4,"totals",0.185323768317699,14.279,1,12.979,298.55,0.7
104,4,"spread",0.153038678050041,12.566,1,11.423,309.98,0
105,4,"totals",0.165149071574211,14.079,1,12.798,322.77,0
106,4,"spread",0.268019259154797,16.139,0,-16.139,306.64,5
107,4,"spread",0.232626693248749,15.332,0,-15.332,291.3,9.7
108,4,"spread",0.232147429704666,14.565,1,13.24,304.54,5.6
109,4,"totals",0.369235350310802,15.227,0,-15.227,289.32,10.4
110,5,"spread",0.563050801932812,14.466,0,-14.466,274.85,14.8
111,5,"spread",0.635364069879055,13.743,1,12.492,287.34,11
112,5,"spread",0.427072173893452,14.367,0,-14.367,272.98,15.4
113,5,"totals",0.348456681370735,13.649,0,-13.649,259.33,19.7
114,5,"spread",0.315732152402401,12.966,0,-12.966,246.36,23.7
115,5,"totals",0.191784040629864,12.318,0,-12.318,234.04,27.5
116,5,"spread",0.351371063411236,11.702,1,10.637,244.68,24.2
117,5,"spread",0.400697090387344,12.234,0,-12.234,232.45,28
118,5,"totals",0.41661701464653,11.622,1,10.565,243.01,24.7
119,5,"spread",0.520317038178444,12.151,1,11.045,254.06,21.3
120,5,"spread",0.354555913031101,12.703,1,11.547,265.6,17.7
121,5,"totals",0.254342725217342,13.28,0,-13.28,252.32,21.8
122,5,"spread",0.306579037964344,12.616,1,11.468,263.79,18.3
123,5,"spread",0.344628831207752,13.19,1,11.989,275.78,14.6
124,5,"spread",0.172116371035576,13.054,1,11.867,287.65,10.9
125,5,"totals",0.29492412686348,14.382,0,-14.382,273.26,15.3
126,5,"spread",0.367352886855602,13.663,1,12.42,285.68,11.5
127,5,"spread",0.211302082598209,14.284,1,12.984,298.67,7.5
128,5,"spread",0.196072834908962,14.933,0,-14.933,283.73,12.1
129,5,"spread",0.291230429530144,14.187,1,12.896,296.63,8.1
130,5,"spread",0.211285583734512,14.831,1,13.482,310.11,3.9
131,5,"spread",0.267578341245651,15.506,1,14.095,324.21,0
132,5,"spread",0.220556352138519,16.21,1,14.735,338.94,0
133,5,"spread",0.155653577268124,14.51,1,13.189,352.13,0
134,5,"totals",0.152089026212692,14.729,1,13.389,365.52,0
135,5,"spread",0.19790511906147,18.276,1,16.613,382.13,0
136,5,"totals",0.200188220441341,19.107,1,17.368,399.5,0
137,6,"totals",0.230213535308838,19.975,0,-19.975,379.53,5
138,6,"spread",0.226361335098743,18.976,1,17.249,396.77,0.7
139,6,"spread",0.288655013799667,19.839,1,18.033,414.81,0
140,6,"spread",0.308702953755856,20.74,1,18.853,433.66,0
141,6,"totals",0.180132087945938,21.484,0,-21.484,412.18,5
142,6,"spread",0.33475067704916,20.609,0,-20.609,391.57,9.7
143,6,"totals",0.289122443675995,19.578,1,17.797,409.37,5.6
144,6,"totals",0.26514117461443,20.468,0,-20.468,388.9,10.3
145,6,"spread",0.514695135712624,19.445,1,17.675,406.57,6.2
146,6,"spread",0.395840735197067,20.329,1,18.479,425.05,2
147,6,"spread",0.569421639025211,21.253,1,19.319,444.37,0
148,6,"totals",0.161191961348057,19.7,0,-19.7,424.67,4.4
149,6,"spread",0.190024920403957,21.233,1,19.301,443.97,0.1
150,6,"spread",0.489165931880474,22.199,1,20.178,464.15,0
151,6,"spread",0.216297255814075,23.207,0,-23.207,440.94,5
152,6,"spread",0.320466188430786,22.047,1,20.041,460.98,0.7
153,6,"totals",0.372608400762081,23.049,1,20.952,481.93,0
154,6,"spread",0.256833484709263,24.097,0,-24.097,457.84,5
155,6,"totals",0.196597612559795,22.892,0,-22.892,434.95,9.8
156,6,"totals",0.263904328763485,21.747,1,19.768,454.71,5.6
157,6,"spread",0.238187265455723,22.736,1,20.667,475.38,1.4
158,6,"spread",0.294285905301571,23.769,0,-23.769,451.61,6.3
159,6,"totals",0.209321763813496,22.581,0,-22.581,429.03,11
160,7,"spread",0.500335890173912,21.452,1,19.499,448.53,6.9
161,7,"spread",0.588084926068783,22.427,1,20.386,468.92,2.7
162,7,"spread",0.26648418211937,23.446,1,21.312,490.23,0
163,7,"spread",0.357890276491642,24.511,1,22.281,512.51,0
164,7,"totals",0.406677644014359,25.625,0,-25.625,486.88,5
165,7,"totals",0.355281407892704,24.344,1,22.129,509.01,0.7
166,7,"spread",0.242453757822514,25.451,1,23.135,532.15,0
167,7,"totals",0.165737341403961,24.257,1,22.049,554.2,0
168,7,"totals",0.164293406367302,25.041,1,22.763,576.96,0
169,7,"spread",0.687503323793411,28.848,1,26.223,603.18,0
170,7,"spread",0.245895762145519,30.159,1,27.415,630.6,0
171,7,"spread",0.530228076279163,31.53,1,28.661,659.26,0
172,7,"totals",0.304119341850281,32.963,1,29.963,689.22,0
173,7,"spread",0.383677659094334,34.461,1,31.325,720.55,0
174,7,"spread",0.196124379634857,36.027,1,32.749,753.29,0
175,7,"spread",0.205377397537231,37.665,0,-37.665,715.63,5
176,7,"spread",0.18207167160511,35.781,0,-35.781,679.85,9.8
177,7,"spread",0.499015412151814,33.992,1,30.899,710.75,5.6
178,7,"spread",0.158885989129543,31.058,1,28.232,738.98,1.9
179,7,"spread",0.304781116962433,36.949,1,33.587,772.57,0
180,7,"spread",0.418485141158104,38.628,1,35.113,807.68,0
181,7,"spread",0.344706774115562,40.384,0,-40.384,767.3,5
182,7,"spread",0.21563343256712,38.365,0,-38.365,728.93,9.7
183,7,"spread",0.393181004583836,36.447,1,33.13,762.06,5.6
184,7,"spread",0.209622043132782,38.103,0,-38.103,723.96,10.4
185,7,"spread",0.161178989827633,32.092,1,29.172,753.13,6.8
186,7,"spread",0.349630603969097,37.656,1,34.23,787.36,2.5
187,7,"spread",0.264727110028267,39.368,0,-39.368,747.99,7.4
188,7,"totals",0.307186309933662,37.4,1,33.996,781.99,3.2
189,7,"spread",0.203051171541214,39.099,0,-39.099,742.89,8
190,8,"spread",0.332945928931236,37.144,0,-37.144,705.74,12.6
191,8,"spread",0.391798968732357,35.287,1,32.076,737.82,8.6
192,8,"spread",0.265296036362648,36.891,1,33.534,771.35,4.5
193,8,"spread",0.535208912551403,38.568,1,35.058,806.41,0.2
194,8,"totals",0.347626617848873,40.321,0,-40.321,766.09,5.1
195,8,"spread",0.489323752045631,38.305,0,-38.305,727.79,9.9
