"season","week","matchup","pick","pick_spread","gap","tier","go_rate_pick","go_rate_opp","result"
2022,1,"Wyoming @ Illinois","Wyoming",14,0.152,"std",0.274,0.122,"LOSS"
2022,1,"LSU @ Florida State","Florida State",4.5,0.142,"std",0.458,0.317,"WIN"
2022,1,"Miami (OH) @ Kentucky","Kentucky",-15,0.141,"std",0.376,0.235,"WIN"
2022,1,"Arizona @ San Diego State","Arizona",6.5,0.133,"std",0.455,0.321,"WIN"
2022,1,"UL Monroe @ Texas","Texas",-37.5,0.131,"std",0.45,0.319,"WIN"
2022,1,"Bowling Green @ UCLA","UCLA",-24,0.126,"std",0.474,0.348,"WIN"
2022,1,"Tulsa @ Wyoming","Tulsa",-6.5,0.112,"std",0.383,0.27,"LOSS"
2022,1,"North Texas @ UTEP","North Texas",-1.5,0.108,"std",0.471,0.363,"WIN"
2022,2,"App State @ Texas A&M","App State",18,0.354,"STRONG",0.583,0.229,"WIN"
2022,2,"UTSA @ Army","Army",2,0.273,"STRONG",0.61,0.337,"LOSS"
2022,2,"Oregon State @ Fresno State","Oregon State",1,0.256,"STRONG",0.52,0.263,"WIN"
2022,2,"Louisville @ UCF","Louisville",5.5,0.21,"STRONG",0.44,0.231,"WIN"
2022,2,"Alabama @ Texas","Texas",21,0.203,"STRONG",0.478,0.275,"WIN"
2022,2,"Tennessee @ Pittsburgh","Tennessee",-6,0.191,"std",0.537,0.346,"WIN"
2022,2,"Wake Forest @ Vanderbilt","Vanderbilt",13.5,0.186,"std",0.458,0.272,"LOSS"
2022,2,"South Alabama @ Central Michigan","South Alabama",6,0.184,"std",0.603,0.42,"WIN"
2022,2,"Southern Miss @ Miami","Miami",-27.5,0.159,"std",0.379,0.22,"LOSS"
2022,2,"Ohio @ Penn State","Penn State",-28,0.146,"std",0.426,0.28,"WIN"
2022,2,"Iowa State @ Iowa","Iowa State",3.5,0.144,"std",0.341,0.197,"WIN"
2022,2,"Western Michigan @ Ball State","Western Michigan",-6.5,0.115,"std",0.479,0.364,"WIN"
2022,2,"Kentucky @ Florida","Florida",-6,0.111,"std",0.5,0.389,"LOSS"
2022,2,"USC @ Stanford","USC",-9.5,0.106,"std",0.325,0.22,"WIN"
2022,3,"Air Force @ Wyoming","Air Force",-16.5,0.252,"STRONG",0.5,0.248,"LOSS"
2022,3,"Texas State @ Baylor","Baylor",-30,0.222,"STRONG",0.558,0.336,"WIN"
2022,3,"Tulane @ Kansas State","Tulane",14,0.208,"STRONG",0.521,0.314,"WIN"
2022,3,"Liberty @ Wake Forest","Liberty",17.5,0.208,"STRONG",0.476,0.268,"WIN"
2022,3,"Arkansas State @ Memphis","Memphis",-14.5,0.192,"std",0.467,0.275,"LOSS"
2022,3,"Akron @ Tennessee","Tennessee",-47.5,0.186,"std",0.541,0.355,"WIN"
2022,3,"UCF @ Florida Atlantic","Florida Atlantic",7.5,0.161,"std",0.398,0.238,"LOSS"
2022,3,"Miami @ Texas A&M","Miami",6.5,0.159,"std",0.378,0.218,"LOSS"
2022,3,"Penn State @ Auburn","Penn State",-2.5,0.144,"std",0.432,0.288,"WIN"
2022,3,"Pittsburgh @ Western Michigan","Western Michigan",10,0.141,"std",0.495,0.355,"LOSS"
2022,3,"South Alabama @ UCLA","South Alabama",15.5,0.14,"std",0.61,0.471,"WIN"
2022,3,"Georgia @ South Carolina","South Carolina",25.5,0.135,"std",0.308,0.173,"LOSS"
2022,3,"Toledo @ Ohio State","Toledo",31,0.132,"std",0.469,0.338,"LOSS"
2022,3,"Charlotte @ Georgia State","Charlotte",19.5,0.119,"std",0.458,0.339,"WIN"
2022,3,"UTSA @ Texas","Texas",-13,0.112,"std",0.449,0.337,"WIN"
2022,3,"North Texas @ UNLV","North Texas",2.5,0.104,"std",0.477,0.373,"LOSS"
2022,4,"Southern Miss @ Tulane","Tulane",-11.5,0.309,"STRONG",0.5,0.191,"LOSS"
2022,4,"Tulsa @ Ole Miss","Ole Miss",-21,0.299,"STRONG",0.667,0.368,"LOSS"
2022,4,"Wyoming @ BYU","BYU",-21.5,0.233,"STRONG",0.469,0.236,"LOSS"
2022,4,"Baylor @ Iowa State","Baylor",2.5,0.226,"STRONG",0.564,0.338,"WIN"
2022,4,"Western Michigan @ San José State","Western Michigan",6.5,0.224,"STRONG",0.491,0.267,"LOSS"
2022,4,"Arizona @ California","Arizona",3.5,0.218,"STRONG",0.519,0.301,"LOSS"
2022,4,"Miami (OH) @ Northwestern","Northwestern",-7.5,0.206,"STRONG",0.485,0.278,"LOSS"
2022,4,"Akron @ Liberty","Liberty",-26.5,0.2,"STRONG",0.506,0.306,"LOSS"
2022,4,"USC @ Oregon State","Oregon State",5.5,0.197,"std",0.538,0.341,"WIN"
2022,4,"Navy @ East Carolina","Navy",16.5,0.191,"std",0.53,0.339,"WIN"
2022,4,"Charlotte @ South Carolina","Charlotte",23.5,0.185,"std",0.471,0.286,"LOSS"
2022,4,"Kent State @ Georgia","Kent State",45,0.171,"std",0.343,0.173,"WIN"
2022,4,"Iowa @ Rutgers","Rutgers",7.5,0.156,"std",0.344,0.188,"LOSS"
2022,4,"Stanford @ Washington","Washington",-14,0.153,"std",0.379,0.226,"WIN"
2022,4,"UNLV @ Utah State","Utah State",3,0.147,"std",0.518,0.371,"LOSS"
2022,4,"Vanderbilt @ Alabama","Vanderbilt",40.5,0.144,"std",0.442,0.299,"LOSS"
2022,4,"Boston College @ Florida State","Florida State",-18.5,0.143,"std",0.439,0.296,"WIN"
2022,4,"Toledo @ San Diego State","Toledo",-3,0.137,"std",0.458,0.32,"LOSS"
2022,4,"Boise State @ UTEP","UTEP",16.5,0.124,"std",0.4,0.276,"WIN"
2023,1,"Texas Tech @ Wyoming","Texas Tech",-13.5,0.361,"STRONG",0.577,0.216,"LOSS"
2023,1,"Utah State @ Iowa","Utah State",23.6,0.299,"STRONG",0.505,0.206,"WIN"
2023,1,"Army @ UL Monroe","Army",-8.4,0.292,"STRONG",0.576,0.284,"LOSS"
2023,1,"Oregon State @ San José State","Oregon State",-15.2,0.273,"STRONG",0.535,0.261,"WIN"
2023,1,"Toledo @ Illinois","Toledo",10,0.242,"STRONG",0.453,0.211,"WIN"
2023,1,"Virginia @ Tennessee","Tennessee",-28,0.235,"STRONG",0.552,0.317,"WIN"
2023,1,"Clemson @ Duke","Duke",12.5,0.198,"std",0.404,0.206,"WIN"
2023,1,"Massachusetts @ Auburn","Auburn",-39,0.187,"std",0.487,0.3,"WIN"
2023,1,"South Carolina @ North Carolina","North Carolina",2.5,0.164,"std",0.461,0.296,"WIN"
2023,1,"Louisville @ Georgia Tech","Louisville",-8,0.163,"std",0.312,0.149,"LOSS"
2023,1,"Massachusetts @ New Mexico State","New Mexico State",-8,0.143,"std",0.438,0.294,"LOSS"
2023,1,"Miami (OH) @ Miami","Miami",-16.6,0.138,"std",0.379,0.241,"WIN"
2023,1,"San José State @ USC","USC",-30.5,0.13,"std",0.394,0.265,"LOSS"
2023,1,"Arkansas State @ Oklahoma","Oklahoma",-35.4,0.123,"std",0.429,0.306,"WIN"
2023,1,"Buffalo @ Wisconsin","Buffalo",24,0.121,"std",0.429,0.308,"WIN"
2023,1,"Boise State @ Washington","Washington",-14.5,0.118,"std",0.371,0.253,"WIN"
2023,1,"LSU @ Florida State","Florida State",2.5,0.112,"std",0.46,0.348,"WIN"
2023,1,"Akron @ Temple","Temple",-9.9,0.103,"std",0.489,0.386,"LOSS"
2023,2,"Southern Miss @ Florida State","Florida State",-31,0.205,"STRONG",0.458,0.253,"WIN"
2023,2,"SMU @ Oklahoma","SMU",16.3,0.202,"STRONG",0.593,0.391,"LOSS"
2023,2,"Texas A&M @ Miami","Miami",2.8,0.188,"std",0.386,0.198,"WIN"
2023,2,"Illinois @ Kansas","Kansas",-3.7,0.185,"std",0.422,0.237,"WIN"
2023,2,"UCLA @ San Diego State","UCLA",-13.5,0.18,"std",0.496,0.316,"WIN"
2023,2,"Vanderbilt @ Wake Forest","Vanderbilt",9.7,0.177,"std",0.488,0.311,"LOSS"
2023,2,"Utah @ Baylor","Baylor",7,0.158,"std",0.599,0.441,"LOSS"
2023,2,"Wisconsin @ Washington State","Washington State",5.3,0.155,"std",0.455,0.3,"WIN"
2023,2,"Ole Miss @ Tulane","Ole Miss",-9.8,0.151,"std",0.632,0.482,"WIN"
2023,2,"Ball State @ Georgia","Ball State",42,0.15,"std",0.337,0.187,"WIN"
2023,2,"James Madison @ Virginia","James Madison",-6,0.147,"std",0.444,0.298,"LOSS"
2023,2,"Temple @ Rutgers","Temple",7.7,0.137,"std",0.468,0.331,"LOSS"
2023,2,"Memphis @ Arkansas State","Memphis",-20.8,0.137,"std",0.44,0.303,"WIN"
2023,2,"Eastern Michigan @ Minnesota","Eastern Michigan",19.7,0.136,"std",0.413,0.276,"WIN"
2023,2,"UNLV @ Michigan","Michigan",-37.8,0.133,"std",0.357,0.224,"LOSS"
2023,2,"App State @ North Carolina","App State",19,0.132,"std",0.588,0.456,"WIN"
2023,2,"Iowa @ Iowa State","Iowa State",3.5,0.129,"std",0.339,0.21,"LOSS"
2023,2,"Auburn @ California","Auburn",-4.8,0.126,"std",0.483,0.357,"LOSS"
2023,2,"Louisiana @ Old Dominion","Louisiana",-6,0.121,"std",0.429,0.308,"LOSS"
2023,2,"Texas @ Alabama","Texas",7.2,0.119,"std",0.41,0.292,"WIN"
2023,3,"Georgia Tech @ Ole Miss","Ole Miss",-17,0.483,"STRONG",0.631,0.148,"WIN"
2023,3,"South Alabama @ Oklahoma State","South Alabama",7,0.362,"STRONG",0.577,0.215,"WIN"
2023,3,"East Carolina @ App State","App State",-7.5,0.259,"STRONG",0.582,0.323,"WIN"
2023,3,"Vanderbilt @ UNLV","Vanderbilt",-4.5,0.248,"STRONG",0.488,0.24,"LOSS"
2023,3,"Tulane @ Southern Miss","Tulane",-7.8,0.226,"STRONG",0.487,0.261,"WIN"
2023,3,"San Diego State @ Oregon State","Oregon State",-24.5,0.218,"STRONG",0.529,0.312,"LOSS"
2023,3,"Florida International @ UConn","Florida International",7,0.211,"STRONG",0.528,0.317,"WIN"
2023,3,"Wyoming @ Texas","Texas",-31,0.198,"std",0.422,0.223,"LOSS"
2023,3,"Miami (OH) @ Cincinnati","Cincinnati",-14.2,0.196,"std",0.438,0.241,"LOSS"
2023,3,"Penn State @ Illinois","Penn State",-13.5,0.189,"std",0.429,0.24,"WIN"
2023,3,"Northern Illinois @ Nebraska","Northern Illinois",11.5,0.187,"std",0.392,0.205,"LOSS"
2023,3,"Minnesota @ North Carolina","North Carolina",-6.7,0.182,"std",0.456,0.274,"WIN"
2023,3,"Army @ UTSA","Army",7,0.18,"std",0.567,0.387,"WIN"
2023,3,"San José State @ Toledo","Toledo",-9,0.178,"std",0.455,0.277,"LOSS"
2023,3,"BYU @ Arkansas","BYU",8.2,0.166,"std",0.453,0.287,"WIN"
2023,3,"Florida Atlantic @ Clemson","Florida Atlantic",25,0.165,"std",0.385,0.219,"LOSS"
2023,3,"New Mexico State @ New Mexico","New Mexico State",2.8,0.149,"std",0.39,0.241,"WIN"
2023,3,"Florida State @ Boston College","Florida State",-25.2,0.143,"std",0.471,0.327,"LOSS"
2023,3,"Central Michigan @ Notre Dame","Central Michigan",34.8,0.138,"std",0.456,0.318,"WIN"
2023,3,"Massachusetts @ Eastern Michigan","Eastern Michigan",-7.5,0.134,"std",0.41,0.276,"LOSS"
2023,3,"South Carolina @ Georgia","South Carolina",26,0.121,"std",0.306,0.184,"WIN"
2023,3,"Pittsburgh @ West Virginia","West Virginia",-1,0.106,"std",0.449,0.343,"WIN"
2023,4,"App State @ Wyoming","App State",3,0.357,"STRONG",0.581,0.224,"WIN"
2023,4,"Ole Miss @ Alabama","Ole Miss",7,0.344,"STRONG",0.628,0.284,"LOSS"
2023,4,"Louisiana Tech @ Nebraska","Louisiana Tech",20.7,0.314,"STRONG",0.51,0.196,"WIN"
